date,Open,High,Low,Close,Adj Close,Volume
3/25/2020,99.120003,99.330002,90.519997,91.040001,89.743637,12563200
3/26/2020,91.389999,96.470001,91.209999,96.07,94.702011,7014000
3/27/2020,94.489998,97.830002,92.93,94.739998,93.390953,4902800
3/30/2020,96.18,97.769997,95.5,96.010002,94.642868,4485600
3/31/2020,95.279999,96.779999,92.160004,92.970001,91.646164,6388400
4/1/2020,91.639999,96.139999,91.290001,95.269997,93.913406,8581000
4/2/2020,94.269997,95.669998,92.120003,94.360001,93.016365,5929200
4/3/2020,93.529999,94.129997,90.169998,92.57,91.251854,6815300
4/6/2020,93.220001,97.82,92.129997,97.510002,96.121513,7107800
4/7/2020,98.75,101.660004,97.029999,98.260002,96.860825,6599300
4/8/2020,100.349998,105.690002,100,104.629997,103.140114,7542900
4/9/2020,102,104.830002,101.5,104.199997,102.71624,7070600
4/13/2020,104.199997,105.370003,102.910004,104.68,103.189415,3235500
4/14/2020,108.489998,109.910004,105.879997,108.379997,106.836723,5032300
4/15/2020,108.760002,109,105.25,106.239998,104.727188,4225600
4/16/2020,107,109.889999,106.650002,109.300003,107.743629,5950300
4/17/2020,110.900002,114.07,108.43,113.419998,111.804955,7617500
4/20/2020,112.5,112.5,108.720001,108.980003,107.428185,5329600
4/21/2020,108.260002,108.260002,105.910004,106.900002,105.3778,4519700
4/22/2020,108.190002,108.529999,106.419998,106.839996,105.318649,2956000
4/23/2020,100.699997,105.5,100.5,103.860001,102.381088,16508000
4/24/2020,104.5,108.449997,103.860001,107.82,106.284698,6092600
4/27/2020,108.68,111.199997,108.510002,109.879997,108.315361,4340700
4/28/2020,111.510002,113.879997,110.110001,112,110.405174,4904700
4/29/2020,113.5,114.040001,110.110001,112.099998,110.503746,4929800
4/30/2020,111.080002,111.199997,108.889999,109.739998,108.177361,4769600
5/1/2020,108.849998,109.480003,106.099998,108.230003,106.688866,4590500
5/4/2020,107.830002,112.029999,107.629997,111.709999,110.119301,4578300
5/5/2020,111.699997,113.379997,110.470001,111.760002,110.168602,4201100
5/6/2020,112.889999,115.620003,112.559998,113.580002,111.962685,4913900
5/7/2020,114.760002,115.290001,113.099998,113.360001,111.745819,3689800
5/8/2020,114.709999,116.830002,114.120003,115.830002,114.180641,4267400
5/11/2020,116.82,120.739998,115.93,120.18,118.468704,5996300
5/12/2020,121,122.949997,119.389999,119.389999,117.689949,4897000
5/13/2020,119.449997,120.629997,118.139999,119.139999,117.443512,4677900
5/14/2020,117.940002,120.830002,117.120003,119.940002,118.232117,5635600
5/15/2020,120.349998,122.650002,119.800003,120.940002,119.217873,8354200
5/18/2020,123.260002,125.550003,122.769997,125.199997,123.417213,6346900
5/19/2020,125.110001,125.970001,122.769997,123.169998,122.059563,7914900
5/20/2020,124.089996,124.910004,119.290001,119.629997,118.551476,12897000
5/21/2020,119.629997,120.370003,117.639999,118.68,117.610046,7620700
5/22/2020,118.830002,119.360001,117.18,117.489998,116.430771,4902900
5/26/2020,118.800003,119.959999,114.809998,115.120003,114.082146,7274600
5/27/2020,115.629997,117.449997,114.230003,117.410004,116.351494,8260300
5/28/2020,117.959999,120.239998,117.459999,118.43,117.362305,6137300
5/29/2020,118.739998,122.779999,118.160004,122.330002,121.227135,8706900
6/1/2020,120.449997,120.739998,118.82,119.489998,118.412743,6020100
6/2/2020,119.660004,120.779999,118.190002,118.849998,117.778511,5144600
6/3/2020,119.139999,122.300003,118.300003,121.730003,120.632553,5815800
6/4/2020,121.879997,122.739998,119.550003,119.959999,118.878502,3963600
6/5/2020,121.410004,122.510002,119.68,121.529999,120.434349,4578800
6/8/2020,120.809998,122.459999,120.580002,122.370003,121.266785,3578400
6/9/2020,122.540001,122.730003,120.290001,120.720001,119.631653,2923500
6/10/2020,120.75,122.18,119.779999,120,118.918144,3653700
6/11/2020,118.57,120.940002,117.779999,118.010002,116.946083,5005100
6/12/2020,119.580002,119.75,114.809998,116.900002,115.846092,4951400
6/15/2020,115.459999,118.690002,115.230003,118.150002,117.084824,4593800
6/16/2020,120.440002,121.330002,117.220001,119.209999,118.135269,5138000
6/17/2020,119.470001,119.470001,117.779999,118.269997,117.203735,3808600
6/18/2020,118.239998,118.260002,116.870003,117.300003,116.242493,3261100
6/19/2020,120.199997,122.93,119.230003,120.559998,119.473099,12611200
